datetime,sand_temp,sand_wind,sand_vis,sand_ceil
2016-01-04 22:08:00,+0170,0021,016093,00975
2016-01-04 22:51:00,+0172,0031,016093,00975
2016-01-04 23:51:00,+0172,0021,016093,01250
2016-01-05 00:00:00,+0172,0021,016000,99999
2016-01-05 00:51:00,+0167,0026,016093,01981
2016-01-05 01:51:00,+0161,0000,016093,22000
2016-01-05 02:27:00,+0160,0000,016093,00579
2016-01-05 02:40:00,+0160,0000,016093,01433
2016-01-05 02:51:00,+0161,0015,016093,22000
2016-01-05 03:51:00,+0156,0000,016093,01158
2016-01-05 04:51:00,+0161,0000,016093,01250
2016-01-05 05:45:00,+0160,0000,016093,00640
2016-01-05 05:51:00,+0161,0000,016093,00640
2016-01-05 06:00:00,+0161,0000,016000,99999
2016-01-05 06:51:00,+0150,0000,008047,00274
2016-01-05 07:04:00,+0160,0000,016093,00335
2016-01-05 07:29:00,+0150,0000,008047,00884
2016-01-05 07:51:00,+0150,0000,016093,00884
2016-01-05 07:59:00,+9999,9999,999999,99999
2016-01-05 08:38:00,+0150,0000,016093,00305
2016-01-05 08:49:00,+0150,0000,016093,00884
2016-01-05 08:51:00,+0150,0015,016093,00884
2016-01-05 09:06:00,+0150,0000,016093,00884
2016-01-05 09:23:00,+0150,0021,016093,00305
2016-01-05 09:51:00,+0150,0000,016093,00366
2016-01-05 10:51:00,+0150,0015,016093,00305
2016-01-05 10:57:00,+0150,0015,016093,00457
2016-01-05 11:51:00,+0144,0021,016093,00457
2016-01-05 12:00:00,+0144,0021,016000,99999
2016-01-05 12:23:00,+0140,0031,016093,01341
2016-01-05 12:51:00,+0150,0026,016093,03658
2016-01-05 13:51:00,+0150,0026,016093,04572
2016-01-05 14:18:00,+0150,0041,016093,00732
2016-01-05 14:35:00,+0150,0041,016093,00549
2016-01-05 14:41:00,+0160,0036,016093,00274
2016-01-05 14:49:00,+0160,0051,016093,00366
2016-01-05 14:51:00,+0156,0041,016093,00366
2016-01-05 15:08:00,+0160,0046,016093,00549
2016-01-05 15:51:00,+0156,0051,016093,00762
2016-01-05 16:43:00,+0160,0062,009656,00366
2016-01-05 16:51:00,+0156,0051,008047,00366
2016-01-05 17:17:00,+0150,0072,006437,01219
2016-01-05 17:51:00,+0144,0072,011265,01219
2016-01-05 18:00:00,+0144,0072,011000,99999
